epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,34.9618,0.92082,1.76513,1.19092,0.90827,0.90546,0.9456,0.73004,0.84675,0.79266,1.1199,0.000331884,0.000331884,0.000331884
2,68.2899,0.94562,0.86799,1.18755,0.83487,0.76497,0.85851,0.64905,0.87758,0.83513,1.11172,0.000658632,0.000658632,0.000658632
3,101.616,0.93721,0.81573,1.17618,0.89847,0.9222,0.96191,0.74332,0.85011,0.7072,1.11014,0.000978779,0.000978779,0.000978779
4,135.138,0.92292,0.74834,1.15474,0.94402,0.92635,0.97572,0.76898,0.80982,0.56052,1.07641,0.0009703,0.0009703,0.0009703
5,169.03,0.90107,0.70135,1.14343,0.93935,0.9303,0.97773,0.76748,0.80899,0.59909,1.0581,0.0009604,0.0009604,0.0009604
6,202.9,0.87434,0.65446,1.13305,0.96138,0.94513,0.98379,0.78388,0.77868,0.51418,1.04948,0.0009505,0.0009505,0.0009505
7,237.093,0.86558,0.63772,1.12528,0.95123,0.96146,0.98364,0.79317,0.75371,0.48758,1.0182,0.0009406,0.0009406,0.0009406
8,271.392,0.84235,0.61361,1.11945,0.975,0.96716,0.98807,0.79003,0.78146,0.50895,1.05425,0.0009307,0.0009307,0.0009307
9,305.678,0.82195,0.58587,1.10131,0.97082,0.97324,0.99065,0.81237,0.72177,0.43111,1.02632,0.0009208,0.0009208,0.0009208
10,340.136,0.81374,0.55281,1.08613,0.97226,0.97996,0.99144,0.82144,0.70247,0.398,0.99388,0.0009109,0.0009109,0.0009109
11,374.6,0.7986,0.53874,1.08305,0.9735,0.96901,0.99031,0.81565,0.71884,0.41106,1.00269,0.000901,0.000901,0.000901
12,408.965,0.78034,0.52307,1.06919,0.96253,0.96779,0.98789,0.81264,0.71168,0.41914,1.00225,0.0008911,0.0008911,0.0008911
13,443.592,0.77909,0.51128,1.06936,0.96738,0.98072,0.99133,0.8227,0.69491,0.39855,0.97814,0.0008812,0.0008812,0.0008812
14,478.519,0.76375,0.49621,1.06273,0.97726,0.98184,0.99302,0.82683,0.68111,0.38549,0.98941,0.0008713,0.0008713,0.0008713
15,513.017,0.76812,0.49637,1.06303,0.9824,0.9851,0.99324,0.83607,0.66538,0.37011,0.96783,0.0008614,0.0008614,0.0008614
16,547.763,0.75192,0.48783,1.0626,0.96962,0.98175,0.99101,0.8381,0.65341,0.38331,0.96228,0.0008515,0.0008515,0.0008515
17,582.401,0.74745,0.47769,1.05193,0.98099,0.98441,0.99233,0.83337,0.65588,0.36969,0.96929,0.0008416,0.0008416,0.0008416
18,616.999,0.73146,0.46588,1.03618,0.98394,0.98966,0.99392,0.84445,0.64095,0.34651,0.95943,0.0008317,0.0008317,0.0008317
19,651.67,0.73342,0.4631,1.05248,0.97359,0.98018,0.99208,0.84541,0.62753,0.3481,0.95685,0.0008218,0.0008218,0.0008218
20,686.444,0.71834,0.45339,1.03451,0.97726,0.97566,0.99129,0.83734,0.64709,0.36327,0.97451,0.0008119,0.0008119,0.0008119
21,721.484,0.7236,0.4449,1.03655,0.9873,0.99338,0.99442,0.85138,0.62366,0.32638,0.94611,0.000802,0.000802,0.000802
22,756.355,0.7046,0.43683,1.02964,0.98927,0.98826,0.99345,0.85834,0.61082,0.36699,0.94736,0.0007921,0.0007921,0.0007921
